Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,W,L,PTS,opp_PTS,NRtg,SRS,VORP
Oklahoma City Thunder,44.63414634146341,92.6829268292683,0.48207317073170725,14.536585365853659,38.829268292682926,0.3736463414634146,30.097560975609756,53.853658536585364,0.5599512195121951,0.5604756097560976,16.695121951219512,20.390243902439025,0.8190487804878046,10.621951219512194,34.15853658536585,44.78048780487805,26.853658536585368,10.329268292682928,5.670731707317073,11.71951219512195,19.890243902439025,37.91463414634146,86.95121951219512,0.4375,13.463414634146341,39.329268292682926,0.34482926829268296,24.451219512195124,47.6219512195122,0.5155731707317073,0.5154390243902439,18.341463414634145,23.682926829268293,0.7723170731707317,11.609756097560975,33.25609756097561,44.86585365853659,24.609756097560975,6.695121951219512,4.780487804878049,17.024390243902438,18.109756097560975,68.0,14.0,120.5,107.63414634146342,12.6,12.39,7.1
Orlando Magic,38.170731707317074,85.78048780487805,0.44582926829268293,11.231707317073171,35.26829268292683,0.316609756097561,26.9390243902439,50.51219512195122,0.5348780487804878,0.5111829268292684,17.853658536585368,23.048780487804876,0.7772317073170733,11.146341463414634,30.695121951219512,41.84146341463415,23.01219512195122,8.890243902439025,5.951219512195122,14.207317073170731,20.097560975609756,38.109756097560975,81.46341463414635,0.4686951219512195,11.439024390243903,31.353658536585368,0.36809756097560975,26.670731707317074,50.109756097560975,0.5331341463414634,0.5388658536585367,17.890243902439025,23.365853658536587,0.7665365853658537,9.158536585365853,32.96341463414634,42.1219512195122,22.804878048780488,7.7439024390243905,4.402439024390244,16.20731707317073,20.317073170731707,41.0,41.0,105.42682926829268,105.54878048780488,-1.7,-2.19,2.3
Philadelphia 76ers,39.68292682926829,87.41463414634147,0.4548780487804879,12.695121951219512,37.19512195121951,0.3407804878048781,26.98780487804878,50.21951219512195,0.5380243902439025,0.5275000000000001,17.548780487804876,22.48780487804878,0.7825731707317074,10.390243902439025,29.402439024390244,39.792682926829265,23.182926829268293,9.170731707317072,4.463414634146342,13.621951219512194,18.975609756097562,42.3780487804878,86.8048780487805,0.4892317073170732,14.231707317073171,37.609756097560975,0.37591463414634146,28.146341463414632,49.19512195121951,0.5734146341463415,0.5707317073170731,16.853658536585368,21.23170731707317,0.7943170731707317,11.536585365853659,33.98780487804878,45.52439024390244,28.25609756097561,7.439024390243903,5.121951219512195,15.987804878048781,18.658536585365855,24.0,58.0,109.60975609756098,115.84146341463415,-4.7,-4.54,2.0
Phoenix Suns,41.23170731707317,86.28048780487805,0.4787073170731707,14.341463414634147,37.951219512195124,0.3771707317073171,26.890243902439025,48.329268292682926,0.555719512195122,0.5619146341463415,16.817073170731707,20.75609756097561,0.8089024390243902,9.548780487804878,32.9390243902439,42.48780487804878,27.76829268292683,7.2317073170731705,4.780487804878049,14.060975609756097,17.9390243902439,42.59756097560975,90.07317073170732,0.47553658536585375,14.182926829268293,38.353658536585364,0.37235365853658536,28.414634146341463,51.71951219512195,0.5513048780487804,0.5546951219512194,17.24390243902439,21.829268292682926,0.7956951219512195,11.524390243902438,32.65853658536585,44.18292682926829,27.25609756097561,8.487804878048781,4.012195121951219,12.207317073170731,18.402439024390244,36.0,46.0,113.6219512195122,116.6219512195122,-2.2,-2.66,2.3
Portland Trail Blazers,40.548780487804876,90.1951219512195,0.45168292682926836,12.890243902439025,37.74390243902439,0.3427073170731707,27.658536585365855,52.451219512195124,0.5286951219512195,0.5234999999999999,16.902439024390244,22.195121951219512,0.7595243902439024,13.353658536585366,31.414634146341463,44.76829268292683,23.804878048780488,8.268292682926829,5.280487804878049,15.963414634146341,19.0,41.58536585365854,88.26829268292683,0.4720853658536585,12.707317073170731,35.170731707317074,0.3567317073170732,28.878048780487806,53.09756097560975,0.5464390243902439,0.5439390243902439,17.98780487804878,22.51219512195122,0.7970609756097561,11.926829268292684,32.31707317073171,44.24390243902439,26.182926829268293,9.524390243902438,5.524390243902439,15.5,19.29268292682927,36.0,46.0,110.89024390243902,113.86585365853658,-3.6,-3.5,1.1
Sacramento Kings,43.03658536585366,90.0609756097561,0.4790609756097562,12.585365853658537,35.207317073170735,0.3559390243902439,30.451219512195124,54.853658536585364,0.5569756097560975,0.5490365853658535,17.073170731707318,21.195121951219512,0.8071951219512195,10.987804878048781,33.207317073170735,44.19512195121951,26.451219512195124,7.560975609756097,4.353658536585366,13.317073170731707,18.878048780487806,41.573170731707314,87.7560975609756,0.4741341463414634,14.548780487804878,38.18292682926829,0.3809512195121951,27.024390243902438,49.573170731707314,0.5440487804878049,0.5573414634146341,17.5609756097561,22.414634146341463,0.7855,9.987804878048781,32.353658536585364,42.34146341463415,26.975609756097562,7.914634146341464,4.2682926829268295,13.902439024390244,18.475609756097562,40.0,42.0,115.73170731707317,115.2560975609756,1.8,1.41,3.5
San Antonio Spurs,41.78048780487805,89.78048780487805,0.4661219512195122,14.121951219512194,39.58536585365854,0.3574146341463415,27.658536585365855,50.19512195121951,0.5516463414634146,0.5450731707317072,16.24390243902439,20.98780487804878,0.7754756097560975,10.926829268292684,32.74390243902439,43.670731707317074,28.634146341463413,8.21951219512195,5.548780487804878,13.878048780487806,16.621951219512194,43.84146341463415,92.52439024390245,0.47454878048780486,14.353658536585366,39.34146341463415,0.36550000000000005,29.48780487804878,53.18292682926829,0.5577073170731708,0.5524756097560977,14.646341463414634,18.536585365853657,0.7942926829268293,12.097560975609756,34.073170731707314,46.170731707317074,28.0,8.097560975609756,4.341463414634147,13.670731707317072,17.414634146341463,34.0,48.0,113.92682926829268,116.6829268292683,-2.2,-1.94,3.3
Toronto Raptors,41.63414634146341,91.0,0.4596951219512194,11.817073170731707,33.97560975609756,0.34978048780487797,29.817073170731707,57.02439024390244,0.5240365853658537,0.5245609756097561,15.78048780487805,21.085365853658537,0.7440731707317073,12.609756097560975,32.51219512195122,45.1219512195122,28.536585365853657,8.097560975609756,4.2439024390243905,15.329268292682928,21.195121951219512,41.18292682926829,88.3170731707317,0.4664024390243902,13.158536585365853,37.71951219512195,0.347219512195122,28.024390243902438,50.59756097560975,0.5543902439024391,0.5408780487804877,19.634146341463413,25.24390243902439,0.7767439024390245,11.463414634146341,33.53658536585366,45.0,25.902439024390244,9.170731707317072,5.902439024390244,15.097560975609756,18.097560975609756,30.0,52.0,110.86585365853658,115.15853658536585,-5.8,-4.38,1.8
Utah Jazz,40.30487804878049,88.6829268292683,0.45614634146341465,13.951219512195122,39.84146341463415,0.352890243902439,26.353658536585368,48.84146341463415,0.5404024390243902,0.5353048780487805,17.329268292682926,22.390243902439025,0.7746341463414633,11.987804878048781,33.426829268292686,45.41463414634146,25.524390243902438,6.7682926829268295,4.390243902439025,17.21951219512195,18.890243902439025,44.573170731707314,92.95121951219512,0.4810487804878049,14.865853658536585,41.5,0.35841463414634145,29.70731707317073,51.451219512195124,0.577280487804878,0.5610121951219512,17.21951219512195,22.5609756097561,0.7642073170731708,11.670731707317072,32.5609756097561,44.23170731707317,29.621951219512194,9.78048780487805,6.426829268292683,11.804878048780488,19.26829268292683,17.0,65.0,111.89024390243902,121.23170731707317,-7.3,-6.65,1.6
Washington Wizards,39.426829268292686,89.89024390243902,0.439109756097561,13.109756097560975,39.146341463414636,0.3329756097560975,26.317073170731707,50.74390243902439,0.5204756097560976,0.512060975609756,16.036585365853657,20.609756097560975,0.7712682926829267,10.573170731707316,33.1219512195122,43.69512195121951,25.097560975609756,7.597560975609756,5.121951219512195,15.560975609756097,19.73170731707317,43.69512195121951,92.8170731707317,0.47124390243902453,14.268292682926829,39.18292682926829,0.36254878048780487,29.426829268292682,53.63414634146341,0.5507804878048782,0.5482926829268292,18.78048780487805,23.670731707317074,0.7933292682926829,12.914634146341463,35.96341463414634,48.8780487804878,28.463414634146343,9.097560975609756,5.219512195121951,13.329268292682928,18.170731707317074,18.0,64.0,108.0,120.4390243902439,-12.3,-11.68,0.7
